"neighborhood","borough","lat","long","scores"
"Charleston-Richmond Valley-Tottenville","Staten Island",40.505,-74.255,0.386
"Charleston-Richmond Valley-Tottenville","Staten Island",40.5,-74.25,0.926
"Charleston-Richmond Valley-Tottenville","Staten Island",40.505,-74.25,0.926
"Charleston-Richmond Valley-Tottenville","Staten Island",40.51,-74.25,0.4935
"Charleston-Richmond Valley-Tottenville","Staten Island",40.515,-74.25,0.247
"Charleston-Richmond Valley-Tottenville","Staten Island",40.5,-74.245,0.985
"Charleston-Richmond Valley-Tottenville","Staten Island",40.505,-74.245,0.984
"Charleston-Richmond Valley-Tottenville","Staten Island",40.51,-74.245,0.777
"Charleston-Richmond Valley-Tottenville","Staten Island",40.515,-74.245,0.645
"Charleston-Richmond Valley-Tottenville","Staten Island",40.5,-74.24,0.9855
"Charleston-Richmond Valley-Tottenville","Staten Island",40.505,-74.24,0.953
"Charleston-Richmond Valley-Tottenville","Staten Island",40.51,-74.24,0.70875
"Charleston-Richmond Valley-Tottenville","Staten Island",40.515,-74.24,0.6955
"Charleston-Richmond Valley-Tottenville","Staten Island",40.525,-74.24,0.83
"Charleston-Richmond Valley-Tottenville","Staten Island",40.53,-74.24,0.83
"Charleston-Richmond Valley-Tottenville","Staten Island",40.535,-74.24,0.8285
"Charleston-Richmond Valley-Tottenville","Staten Island",40.54,-74.24,0.849
"Charleston-Richmond Valley-Tottenville","Staten Island",40.545,-74.24,0.981
"Charleston-Richmond Valley-Tottenville","Staten Island",40.505,-74.235,0.994
"Charleston-Richmond Valley-Tottenville","Staten Island",40.51,-74.235,0.91
"Charleston-Richmond Valley-Tottenville","Staten Island",40.515,-74.235,0.79
"Charleston-Richmond Valley-Tottenville","Staten Island",40.52,-74.235,0.987
"Charleston-Richmond Valley-Tottenville","Staten Island",40.525,-74.235,0.991
"Charleston-Richmond Valley-Tottenville","Staten Island",40.53,-74.235,0.991
"Charleston-Richmond Valley-Tottenville","Staten Island",40.535,-74.235,0.9845
"Charleston-Richmond Valley-Tottenville","Staten Island",40.54,-74.235,0.994
"Charleston-Richmond Valley-Tottenville","Staten Island",40.55,-74.235,0.897
"Charleston-Richmond Valley-Tottenville","Staten Island",40.505,-74.23,0.907
"Charleston-Richmond Valley-Tottenville","Staten Island",40.51,-74.23,0.8345
"Charleston-Richmond Valley-Tottenville","Staten Island",40.515,-74.23,0.419
"Charleston-Richmond Valley-Tottenville","Staten Island",40.52,-74.23,0.9425
"Charleston-Richmond Valley-Tottenville","Staten Island",40.525,-74.23,0.987
"Charleston-Richmond Valley-Tottenville","Staten Island",40.53,-74.23,0.987
"Charleston-Richmond Valley-Tottenville","Staten Island",40.535,-74.23,0.979666666666667
"Charleston-Richmond Valley-Tottenville","Staten Island",40.54,-74.23,0.987333333333333
"Charleston-Richmond Valley-Tottenville","Staten Island",40.545,-74.23,0.978
"Charleston-Richmond Valley-Tottenville","Staten Island",40.55,-74.23,0.842
"Charleston-Richmond Valley-Tottenville","Staten Island",40.555,-74.23,0.937
"Charleston-Richmond Valley-Tottenville","Staten Island",40.505,-74.225,0.908
"Charleston-Richmond Valley-Tottenville","Staten Island",40.51,-74.225,0.8355
"Annadale-Huguenot-Prince's Bay-Eltingville","Staten Island",40.515,-74.225,0.503
"Charleston-Richmond Valley-Tottenville","Staten Island",40.52,-74.225,0.994
"Charleston-Richmond Valley-Tottenville","Staten Island",40.525,-74.225,1
"Charleston-Richmond Valley-Tottenville","Staten Island",40.53,-74.225,1
"Charleston-Richmond Valley-Tottenville","Staten Island",40.535,-74.225,0.9925
"Charleston-Richmond Valley-Tottenville","Staten Island",40.54,-74.225,1
"Charleston-Richmond Valley-Tottenville","Staten Island",40.55,-74.225,0.794
"Charleston-Richmond Valley-Tottenville","Staten Island",40.555,-74.225,0.941
"Annadale-Huguenot-Prince's Bay-Eltingville","Staten Island",40.505,-74.22,0.91
"Charleston-Richmond Valley-Tottenville","Staten Island",40.52,-74.22,0.998
"Charleston-Richmond Valley-Tottenville","Staten Island",40.525,-74.22,1
"Charleston-Richmond Valley-Tottenville","Staten Island",40.53,-74.22,1
"Charleston-Richmond Valley-Tottenville","Staten Island",40.535,-74.22,0.9925
"Charleston-Richmond Valley-Tottenville","Staten Island",40.54,-74.22,1
"Charleston-Richmond Valley-Tottenville","Staten Island",40.545,-74.22,0.986
